V,Libelle GEN,Libelle ROME,Code ROME,score
Na,Chef de projet technique,Chef de projet en géomatique,M1808,34.1283228558655
Na,Animateur 3D,Animateur / Animatrice d'atelier lecture,G1202,30.4022674913848
Na,Administrateur système et réseau,Administrateur / Administratrice réseau informatique,M1801,31.361604986323
Na,Ingénieur DevOps,Ingénieur / Ingénieure validation réseaux de télécoms,M1804,15.4155531351773
Na,Responsable CRM,Responsable juridique,K1903,34.0555678848181
Na,Chargé e-commerce,Responsable affiliation et partenariats e-commerce,M1705,43.7189572226845
Na,Chef de projet systèmes d'information,Auditeur / Auditrice en système d'information,M1802,29.1925903172576
Na,Expert en système d’information,Agent / Agente d'atelier en reprographie,E1307,25.2544909757884
Na,Technicien cybersécurité,Technicien / Technicienne d'exploitation télécommunication,M1807,28.7469379960287
Na,Gestionnaire de base de données,Chargé / Chargée de presse,E1103,52.8876829713718
Na,Directeur de projet,Directeur / Directrice d'achat média,E1402,26.750041057245
Na,Chef de projet systèmes d'information,Maquettiste d'exécution publicitaire,E1306,53.8729844073979
Na,Analyste SOC,Analyste-programmeur / Analyste-programmeuse d'étude informatique,M1805,8.33004861878837
Na,Chef de projet technique,Chef de service juridique,K1903,51.4984299149488
Na,Technicien base de données,Employé / Employée de reprographie,E1307,5.46182290077777
Na,Data Scientist,Développeur / Développeuse Big Data,M1805,45.4771368851741
Na,Technicien helpdesk,Technicien / Technicienne en informatique industrielle,H1208,45.5474138293045
Na,Directeur de projet,Responsable de projet d'affaires en industrie,H1102,13.8476605858647
Na,Technicien base de données,Technicien / Technicienne sur grand instrument de recherche,H1210,24.8470110264695
Na,Chef de projet technique,Assistant / Assistante chef de projet,M1605,54.9197606913354
Na,Motion Designer,Designer / Designeuse ergonome,H1204,25.6686890747174
Na,Chef de projet technique,Chef de groupe logicien informaticien,M1805,26.232775124849
Na,Conseiller support technique,Support technique hot line en informatique,I1401,45.66774905935
Na,Technicien système et réseau,Technicien / Technicienne de maintenance en bureautique,I1401,13.8981559507059
Na,Ingénieur en Machine Learning,Ingénieur mécatronicien / Ingénieure mécatronicienne en industrie,H1206,41.5413202100952
Na,Chef de projet technique,Chef de projet utilisateurs des systèmes d'information,M1806,43.3472438730662
Na,Gestionnaire de parc micro-informatique,Technicien / Technicienne de maintenance en informatique,I1401,54.0634356589859
Na,Chef de projet digital,Chef de studio de photographie,E1201,5.48125789493411
Na,Expert Sécurité IT,Traducteur expert / Traductrice experte judiciaire,E1108,2.61108768065101
Na,Chef de projet web,Chef de groupe logicien informaticien,M1805,47.5185687128633
Na,Développeur machine learning,Conducteur / Conductrice de machines d'affranchissement,E1302,26.3974813958386
Na,Coordinateur de projet,Chargé / Chargée des relations publiques digitales,E1103,33.3083242238555
Na,Technicien système et réseau,Technicien / Technicienne en système naturels,H1210,4.92029556150585
Na,Chargé de production vidéos,Chargé / Chargée de production de spectacles,L1302,29.0151762038001
Na,Chargé de production vidéos,Dessinateur / Dessinatrice de presse,E1205,34.3972477787974
Na,Architecte Logiciel,Architecte multimédia,M1802,23.916997116894
Na,Chef de projet web,Automaticien / Automaticienne chef de projet,H1208,45.7368986768184
Na,UX Designer,Maquettiste en arts graphiques,E1205,13.5235541414116
Na,Ingénieur DevOps,Ingénieur / Ingénieure d'affaires en industrie,H1102,20.6792304236316
Na,Technicien helpdesk,Technicien / Technicienne informatique,M1810,3.02291618148641
Na,Expert systèmes et réseaux,Technicien / Technicienne en micro-informatique et réseaux,I1401,24.7045572585268
Na,Chef de projet marketing digital,Chef de produit digital,M1703,56.3871629591809
Na,Technicien système et réseau,Technicien / Technicienne réseau informatique,M1810,46.2014513948791
Na,Chef de projet agile,Chef de projet BTP,F1106,39.4937464406995
Na,Chef de projet systèmes d'information,Conducteur / Conductrice de machines d'impression,E1301,39.4793371896311
Na,Gestionnaire de base de données,Réparateur / Réparatrice de matériels de bricolage,I1402,27.3860728013828
Na,Chef de projet agile,Chef de publicité senior,E1401,34.9963913256023
Na,Chef de projet agile,Chef de cabine de projection,E1204,4.29489292657311
Na,Chef de projet digital,Responsable de projet architecture informatique,M1803,55.5764382591633
Na,Entrepreneur digital,Dessinateur / Dessinatrice d'études en électricité,H1202,15.7153163198712
Na,Journaliste web,Journaliste on line,E1106,43.5826699232987
Na,Responsable sécurité des systèmes d'information,Chargé / Chargée d'études Systèmes d'Information Géographique -SIG-,M1808,38.0956249952319
Na,Intégrateur logiciels métiers,Paramétreur / Paramétreuse logiciel ERP,M1805,46.9269735086371
Na,Technicien cybersécurité,Technicien exploitant / Technicienne exploitante navires,N3201,1.48212506690278
Na,Ingénieur DevOps,Responsable d'application informatique,M1805,9.62528871890772
Na,Expert systèmes et réseaux,Expert / Experte méthodes et outils en informatique,M1802,9.44659080749506
Na,Architecte base de données,Conducteur / Conductrice de couverturières,E1302,46.0533401090544
Na,Délégué à la protection des données (DPD),Vétérinaire de l'industrie,H1206,47.4584732499274
Na,Chargé de communication web,Chargé / Chargée de communication externe,E1103,49.5788453278935
Na,Chef de projet technique,Chef d'équipe station de sondage météorologique,M1809,19.8922901270991
Na,Conseiller support technique,Conseiller / Conseillère de programme audiovisuel,L1302,34.8372308200924
Na,Technicien système et réseau,Administrateur / Administratrice système et réseaux d'information et de communication,M1801,43.4065264134815
Na,Ingénieur en Machine Learning,"Ingénieur / Ingénieure agronome en études, recherche et développement",H1206,35.0028069508203
Na,Technicien cloud,Technicien / Technicienne galéniste,H1210,11.3214856251328
Na,Security Architect,Collaborateur / Collaboratrice d'architecte,F1104,41.5171091994064
Na,Traffic manager,Community manager,E1101,17.7614940588704
Na,Expert en technologie de l’information,Technicien / Technicienne en réseau local informatique,I1401,17.4961622550796
Na,Responsable CRM,Responsable d'exploitation informatique,M1803,45.3030890798333
Na,Responsable sécurité des systèmes d'information,Prévisionniste météorologue des armées,M1809,59.7103549731976
Na,Expert en technologie de l’information,Ingénieur / Ingénieure en innovations technologiques,H1206,57.6449858414737
Na,Technicien helpdesk,Technicien / Technicienne support en bureautique,I1401,43.0697253738583
Na,Gestionnaire de base de données,Moniteur / Monitrice de saisie,M1606,17.4051274356339
Na,Ingénieur DevOps,Informaticien / Informaticienne d'application,M1805,23.8836348117711
Na,Analyste SOC,Cyber-journaliste,E1106,28.3932817735411
Na,Directeur de projet,Directeur / Directrice de production de spectacles,L1302,34.6254496056824
Na,Chargé de marketing digital,Chargé / Chargée de projet marketing,M1705,67.1797626765393
Na,Responsable sécurité des systèmes d'information,Maître / Maîtresse d'ouvrage système d'information,M1806,46.7227488366511
Na,Chef de projet web,Chef de service juridique,K1903,52.0052796310934
Na,Chef de projet communication digitale,Assistant / Assistante de communication,E1103,10.6832269800531
Na,Pen testeur,Testeur / Testeuse informatique,M1805,10.3741889614314
Na,Responsable CRM,Responsable de division informatique,M1803,20.8235945792516
Na,Expert en système d’information,Dessinateur / Dessinatrice d'études en électronique,H1202,6.04081584271344
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure métallurgiste en industrie,H1206,17.7764801464695
Na,Technicien de déploiement de fibre optique,Chargé / Chargée de planification réseaux de télécoms,M1804,25.082019673333
Na,Technicien base de données,Conducteur / Conductrice de machines de flexographie,E1301,2.7877358931509
Na,Chef de projet agile,Conducteur / Conductrice de machines à sérigraphier,E1301,18.8538560245237
Na,Créateur d'entreprise,Responsable clientèle bancaire entreprise,C1203,18.0306834794833
Na,Développeur blockchain,Développeur / Développeuse de photographies,E1203,37.3881653667145
Na,Responsable marketing digital,Responsable de département marketing,M1705,5.91592033471129
Na,Traffic manager,Designer manager,H1204,32.412945789879
Na,Game designer,Designer / Designeuse maquettiste,H1204,26.712672054341
Na,Gestionnaire de base de données,Photographe de plateau de tournage,E1201,45.4299207507436
Na,Ingenieur systèmes,Ingénieur mécatronicien / Ingénieure mécatronicienne en industrie,H1206,29.3611951932389
Na,Chef de projet web,Chef de studio de créations graphiques,E1205,38.5271607148713
Na,Chef de projet e-commerce,Chef de produits design,H1204,25.3010894149104
Na,Technicien en télécommunication,Technicien / Technicienne chimiste en recherche-développement,H1210,54.5890923922716
Na,Technicien en télécommunication,Technicien / Technicienne en télécommunications,I1307,69.7521459695815
Na,UX Designer,UI - user interface designer,E1205,18.2229600622276
Na,Responsable CRM,Responsable de la communication,E1103,68.3125350508803
Na,Chef de projet web,Spécialiste en gestion de crise cyber,M1810,18.0238259199523
Na,Développeur blockchain,Développeur / Développeuse informatique,M1805,35.9602377004422
Na,Motion Designer,Sound designer / Designer sonore,L1507,52.9097682389672
Na,Technicien système et réseau,"Technicien / Technicienne en télévision, hi-fi",I1402,22.5152548234111
Na,Data Architect,Data miner,M1403,21.7760380036988
Na,Réalisateur de jeux vidéos,Programmeur / Programmeuse - jeux vidéo,M1805,28.2998513693588
Na,Technicien base de données,Conducteur / Conductrice de chaînes de brochage,E1302,20.3882269425815
Na,Technicien système et réseau,Technicien / Technicienne validation systèmes en électrique et électronique,H1209,26.4971330057204
Na,Architecte base de données,Opérateur / Opératrice de télécinéma,E1202,34.0231542351772
Na,Chef de projet marketing digital,Chef de service achat d'espaces publicitaires,E1402,57.834349026294
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure formulation en industrie,H1206,43.8037859525587
Na,Motion Designer,Designer,H1204,22.6120937435736
Na,Chef de projet technique,Agent / Agente technique de fabrication d'imprimerie,E1308,14.0638207465938
Na,Expert Sécurité IT,Expert fiscal / Experte fiscale,K1903,45.5626893801293
Na,Ingénieur DevOps,Ingénieur / Ingénieure hydrographe,M1808,26.99605851077
Na,Expert en technologie de l’information,Ingénieur / Ingénieure d'essais en études et développement en industrie,H1206,36.9803444615908
Na,Directeur de projet,Responsable de projet informatique,M1805,90.9894310127508
Na,Ingenieur systèmes,Ingénieur / Ingénieure biochimiste en industrie,H1206,24.427027449441
Na,Technicien en télécommunication,Dessinateur / Dessinatrice en tôlerie,H1203,29.7707166525883
Na,Community manager,Consultant / Consultante en management,M1402,13.8634090761481
Na,Chef de projet web,Assistant / Assistante chef de projet informatique,M1805,54.8364845191664
Na,Technicien en télécommunication,Technicien / Technicienne poste de travail en informatique,M1810,19.932454294
Na,Spécialiste test et validation,Technicien / Technicienne de contrôle et de tests en électricité,H1504,14.9349549619173
Na,Architecte IoT,Architecte réseaux informatiques,M1802,53.0997011691077
Na,Technicien système et réseau,Technicien / Technicienne de maintenance de systèmes informatiques,I1401,55.6233152731229
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure en électronique médicale en industrie,H1206,6.96551325616445
Na,Technicien réseau,Ingénieur / Ingénieure réseau informatique,M1802,47.6416643675317
Na,Expert en technologie de l’information,Technicien / Technicienne de maintenance en informatique,I1401,33.698199419547
Na,Intégrateur web,Chargé / Chargée de communication web,E1103,10.1332168705051
Na,Chargé de communication web,Directeur / Directrice de la communication,E1103,4.12526491290225
Na,Vidéaste,Directeur / Directrice de production de spectacles,L1302,52.297082622699
Na,Chef de projet marketing digital,Assistant / Assistante de publicité d'agence,E1401,55.6909980271752
Na,Chef de projet technique,Chef de groupe en agence de publicité,E1401,30.8450198903036
Na,Chef de projet web,Chef de fabrication en industrie graphique,E1303,28.7334636720725
Na,Architecte base de données,Chargé / Chargée de postproduction,L1302,13.7538428953424
Na,Technicien base de données,Technicien / Technicienne de laboratoire photographique,E1203,47.7075878109636
Na,Technicien en télécommunication,Coloriste en industrie chimique,H1201,28.4591034083825
Na,Technicien de déploiement de fibre optique,Chef de projet télécoms,M1804,30.79116435708
Na,Architecte base de données,Conducteur / Conductrice de rainureuses,E1302,54.3974995804924
Na,Chargé de projet Data,Responsable financement de projet,M1201,22.56073953983
Na,Créateur d'entreprise,Conducteur / Conductrice d'enliasseuses,E1302,4.85597298670445
Na,Responsable Sécurité de l'information,Responsable de service contentieux et recouvrement,K1903,2.34843243446167
Na,Technicien en télécommunication,Technicien / Technicienne en sciences des matériaux,H1210,46.157813390292
Na,Référent digital,Écoutant social référent / Écoutante sociale référente,K1205,59.1887424942337
Na,Gestionnaire de base de données,Correcteur / Correctrice de presse,E1305,40.1891221898433
Na,Technicien blockchain,Technicien / Technicienne programmation,M1805,30.8236571644807
Na,Spécialiste support,Correcteur spécialisé / Correctrice spécialisée,E1305,48.7679129507152
Na,Expert en système d’information,Expert / Experte juridique,K1903,59.1353893166288
Na,Architecte base de données,Organisateur / Organisatrice de réceptions,E1107,56.8548933612633
Na,Ingénieur en Machine Learning,Ingénieur thermicien / Ingénieure thermicienne en industrie,H1206,40.2745473194297
Na,Responsable Sécurité de l'information,Installateur / Installatrice de matériels de reprographie,I1401,59.7598934405071
Na,Technicien système et réseau,Technicien / Technicienne de développement technologique,H1210,37.2502803654323
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure d'essais en études et développement en industrie,H1206,3.5138024138114
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure en avionique en industrie,H1206,4.40328627622804
Na,Chef de projet agile,Chef de projet Web,M1803,59.144711982093
Na,Technicien de déploiement de fibre optique,Directeur / Directrice de service télécoms,M1803,51.0687576608641
Na,Développeur Web,Directeur / Directrice artistique web,E1104,55.5105001604704
Na,Digital business developer,Analyste de signaux électromagnétiques,M1807,47.1720496168276
Na,Ingenieur systèmes,Ingénieur / Ingénieure méthodes informatiques,M1802,51.1467558516398
Na,Technicien système et réseau,Technicien / Technicienne en implantation et routage électronique,H1202,1.08849367517254
Na,Technicien en télécommunication,Coloriste en impression textile,H1201,29.0048409859368
Na,Content manager,Ingénieur / Ingénieure - conseil en management,M1402,1.28306011270885
Na,Réalisateur de jeux vidéos,Directeur / Directrice artistique - jeux vidéo,E1104,37.3517354173074
Na,Chef de projet digital,Chef d'atelier en industrie graphique,E1303,26.8929409281148
Na,Développeur d'applications,Analyste responsable d'application informatique,M1805,14.0041251312403
Na,Chef de projet digital,Chef de projet design,H1204,57.5324643364282
Na,Responsable sécurité des systèmes d'information,Rédacteur / Rédactrice des débats,E1103,39.1344565409048
Na,Chargé de production vidéos,Directeur / Directrice de création - jeux vidéo,E1104,52.7835307015739
Na,Technicien système et réseau,Technicien / Technicienne métallurgiste en recherche et développement,H1210,25.1013665886868
Na,Responsable sécurité des systèmes d'information,Directeur / Directrice des systèmes d'information,M1803,27.7130704851185
Na,Developpeur Front-End,Développeur / Développeuse front-end,M1805,58.393793786275
Na,Gestionnaire de base de données,Préparateur / Préparatrice de copies,E1305,45.6309062431248
Na,Développeur de jeux vidéos,Développeur / Développeuse de photographies,E1203,45.8536978255918
Na,Chef de projet web,Chef de projet télécoms,M1804,41.1888511678273
Na,Webdesigner,Web designer,E1205,66.6399934178952
Na,Infographiste,Designer / Designeuse graphique,E1205,49.0039767560008
Na,Vidéaste,Gestionnaire de production informatique,M1810,31.4412807305872
Na,Architecte IoT,Architecte conseiller / conseillère,F1101,24.8446821823133
Na,Architecte base de données,Architecte cloud,M1802,2.555754525636
Na,Technicien en télécommunication,Technicien / Technicienne en microélectronique études et développement,H1209,30.4373766790325
Na,UI Designer,Concepteur designer / Conceptrice designeuse,H1204,38.7675867936202
Na,Technicien base de données,Chargé / Chargée de postproduction,L1302,4.32835296020461
Na,Chef de projet systèmes d'information,Administrateur / Administratrice Systèmes d'Information Géographique -SIG-,M1808,4.68436217717312
Na,Responsable Sécurité de l'information,Responsable d'espace de médiation numérique,G1202,18.8705013805712
Na,Technicien blockchain,Technicien / Technicienne système informatique,M1810,51.2720254563428
Na,UX Designer,Designer / Designeuse en joaillerie,B1805,44.3503376858452
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure en recherche analytique en industrie,H1206,30.4169635023338
Na,Chef de projet marketing digital,Chef de projet publicitaire,E1401,21.6860861728858
Na,Animateur 3D,Animateur / Animatrice d'atelier d'expression corporelle,G1202,13.9275087196732
Na,Gestionnaire de base de données,Producteur / Productrice de musique,L1302,27.2939694640236
Na,Gestionnaire de base de données,Directeur / Directrice de ballet,L1302,30.2347803889649
Na,Gestionnaire de parc micro-informatique,Gestionnaire de ressources matérielles informatiques,M1810,66.254336891878
Na,Technicien data,Technicien / Technicienne shipplanner,N3201,8.66609777055473
Na,Technicien de déploiement de fibre optique,Responsable de division télécoms,M1803,33.5755703820808
Na,Directeur de projet,Directeur / Directrice de festival,L1302,50.0767139710852
Na,Expert en technologie de l’information,Expert / Experte en tests d'intrusion - sécurité des systèmes d'information,M1802,35.5646310846908
Na,Community manager,Manager / Manageuse de caisses,D1508,25.7843477730996
Na,Chef de projet e-commerce,Assistant / Assistante commerce international,D1401,48.4677555064267
Na,Responsable marketing digital,Chief digital officer - Responsable de la transformation digitale,M1402,45.1548287766583
Na,Conseiller support technique,Support technique en électronique,I1305,23.5905831289683
Na,Chargé de communication web,Assistant / Assistante de communication,E1103,33.9171743464623
Na,Game designer,Writer designer,E1102,23.2108683925299
Na,Technicien en télécommunication,Technicien / Technicienne métallurgiste en recherche et développement,H1210,21.3593943172572
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure des mesures et tests en industrie,H1206,18.8877221343754
Na,Gestionnaire de parc micro-informatique,Pupitreur / Pupitreuse d'exploitation informatique,M1810,46.3120073025939
Na,Product Owner,Designer / Designeuse produit,H1204,49.7821947566117
Na,Infographiste,Infographiste en multimédia,E1205,77.2789690285553
Na,Responsable CRM,Responsable de service juridique,K1903,52.9012510396882
Na,Architecte base de données,Opérateur / Opératrice de prépresse,E1306,56.5459366165766
Na,Vidéaste,Opérateur / Opératrice de projection,E1204,14.5650229265444
Na,Responsable sécurité des systèmes d'information,Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information,M1806,14.1112621442384
Na,Expert en système d’information,Maquettiste d'exécution en imprimerie,E1306,45.2613739642975
Na,Technicien base de données,Technicien / Technicienne poste de travail en informatique,M1810,9.81353084296627
Na,Technicien en télécommunication,Technicien / Technicienne de maintenance en matériels domestiques électroniques,I1402,5.82703447923432
Na,Technicien système et réseau,Technicien / Technicienne en conception de systèmes automatisés,H1208,28.340961898385
Na,Technicien data,Technicien / Technicienne en communication,M1807,35.5394482763731
Na,Intégrateur web,Infographiste intégrateur / intégratrice,E1205,42.997092081213
Na,Expert en technologie de l’information,Technicien / Technicienne de hot line en informatique,I1401,31.5215540667243
Na,Développeur Mobile,Responsable de la programmation de spectacles,L1302,11.1361886716432
Na,Technicien de déploiement de fibre optique,Responsable télécoms,M1803,55.9883841987385
Na,Chef de projet technique,Chef de projet design,H1204,38.9077893010231
Na,Responsable Sécurité de l'information,Responsable de la programmation audiovisuelle,L1302,18.4153315967467
Na,Chef de projet agile,Conducteur / Conductrice de machines à pelliculer,E1302,43.7629667252836
Na,Digital business developer,Responsable développement / Business Developer,M1707,16.3542978549412
Na,Intégrateur web,Directeur / Directrice artistique web,E1104,21.1164525962
Na,Technicien base de données,Opérateur / Opératrice de télécinéma,E1202,25.8658865044615
Na,Responsable Sécurité de l'information,Officier / Officière de marque de l'industrie,H1206,7.45525185433921
Na,Développeur Web,Développeur / Développeuse full-stack,M1805,14.6144987002251
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure de programme d'affaires en industrie,H1102,21.4700324704048
Na,Ingenieur systèmes,Urbaniste des systèmes d'information,M1806,38.2190436378198
Na,Ingénieur IOT,Ingénieur / Ingénieure de suivi d'affaires en industrie,H1102,25.2873966916128
Na,Technicien de déploiement de fibre optique,Technicien / Technicienne de maintenance en matériel de bureau,I1401,53.4095210611333
Na,Délégué à la protection des données (DPD),Guetteur / Guetteuse de la flotte,M1807,18.1497008874716
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure technique d'études en industrie,H1206,4.55443530014805
Na,Technicien système et réseau,Technicien / Technicienne de la police technique et scientifique,H1210,51.5388090709013
Na,Réalisateur de jeux vidéos,Game designer - jeux vidéo,E1104,51.8636090059338
Na,Technicien en télécommunication,Responsable de réseaux télécoms,M1803,29.9985934510373
Na,Technicien en télécommunication,Technicien / Technicienne études-recherche-développement en industrie graphique,E1308,46.8534775075792
Na,"Spécialiste systèmes, réseaux et sécurité",Architecte de sécurité des systèmes d'information,M1802,17.4229082726456
Na,Technicien cybersécurité,Technicien planificateur / Technicienne planificatrice manutention portuaire,N3201,31.2241242120198
Na,Technicien d'exploitation,Directeur / Directrice d'information,E1106,17.8889355448305
Na,Chef de projet web,Chef de projet maîtrise d'oeuvre informatique,M1805,25.1238686009884
Na,Chargé de production vidéos,Sound designer / Designer sonore,L1507,28.48562165545
Na,Responsable CRM,Customer Relationship Manager (CRM),M1704,62.5994159962782
Na,Responsable CRM,Responsable des développements informatiques,M1805,22.3837450283684
Na,Conseiller support technique,Technicien / Technicienne support technique,H1101,11.768236011786
Na,Développeur Data,Développeur / Développeuse multimédia,M1805,55.044823666484
Na,Architecte IoT,Architecte du patrimoine,F1101,53.2008042379356
Na,Technicien helpdesk,Technicien / Technicienne de maintenance en bureautique,I1401,40.4737950168608
Na,Chef de projet technique,Chef d'équipe de help desk en informatique,I1401,9.72922143506386
Na,Ingenieur systèmes,Ingénieur / Ingénieure en biotechnologie en industrie,H1206,49.519942542434
Na,Technicien d'exploitation,Animateur / Animatrice d'écomusée,G1202,11.8617667339684
Na,Chargé de projet Data,Chargé / Chargée de projet emploi,K1801,35.7549600778464
Na,Technicien système et réseau,Technicien / Technicienne de mesures aérodynamiques,H1210,29.0355670822505
Na,Technicien de déploiement de fibre optique,Technicien / Technicienne de maintenance de systèmes informatiques,I1401,40.6907592084027
Na,Développeur d'applications,Ingénieur / Ingénieure d'études-développement,H1206,46.0853969441103
Na,Architecte Logiciel,Homologateur / Homologatrice logiciel,M1805,35.437349416239
Na,Technicien d'exploitation,Expert / Experte système d'exploitation,M1802,25.5240720385798
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure en aérospatiale en industrie,H1206,47.9281187742045
Na,Expert en technologie de l’information,Juriste en droit de l'environnement,K1903,42.4727472425436
Na,Chef de projet communication digitale,Responsable marketing digital,M1705,8.34858503249702
Na,Chef de projet web,Chef de projet recherche et développement en industrie,H1206,8.10207352380832
Na,Technicien en télécommunication,Technicien rédacteur / Technicienne rédactrice en industrie,H1207,13.0104347779467
Na,Technicien base de données,Opérateur / Opératrice de photocomposition,E1306,29.021336774917
Na,Developpeur Front-End,Ingénieur / Ingénieure de bureau d'études en industrie,H1206,48.557788269417
Na,Chef de projet technique,Chef opérateur / opératrice photographe,E1201,59.6219262417577
Na,Chef de projet systèmes d'information,Assistant fonctionnel / Assistante fonctionnelle des systèmes d'information,M1806,49.7508381094258
Na,Chef de projet e-commerce,Acheteur / Acheteuse e-commerce,M1101,31.11820077773
Na,Chef de projet technique,Chef de groupe de création multimédia,E1104,2.82904165209993
Na,Traffic manager,Digital brand manager - Responsable de la marque en ligne,M1705,15.4793080548225
Na,Technicien système et réseau,Technicien / Technicienne de recherche alimentaire,H1210,8.89158840304795
Na,Responsable CRM,Responsable des relations internes,E1103,55.6842337008728
Na,Expert en technologie de l’information,Technicien / Technicienne de maintenance en monétique,I1401,42.1699244175638
Na,Security Architect,Commis / Commise d'architecte,F1104,43.0191017638987
Na,Responsable Sécurité de l'information,Auditeur / Auditrice en sécurité des systèmes d'information,M1802,52.8167004050932
Na,Expert en technologie de l’information,Consultant / Consultante IT,M1806,40.2944730244485
Na,Chef de projet technique,Chef de projet d'affaires d'ingénierie industrielle,H1102,15.389518930436
Na,Technicien d'exploitation,Gestionnaire d'applications système d'information,M1806,12.3393142114196
Na,Directeur de projet,Projeteur / Projeteuse thermique,H3404,15.2058581983284
Na,Développeur d'applications,Ingénieur / Ingénieure d'application informatique,M1805,54.9869398380237
Na,Technicien de déploiement de fibre optique,Négociateur / Négociatrice de sites télécoms en fibre optique,M1804,8.28715294679641
Na,Chef de projet web,Chef de projet multimédia,M1803,26.1600861004069
Na,Developpeur Back-End,Ingénieur / Ingénieure en armement en industrie,H1206,49.2926086415669
Na,Développeur blockchain,Gestionnaire de ressources informatiques,M1810,41.3764070976972
Na,Chef de projet systèmes d'information,Architecte de sécurité des systèmes d'information,M1802,53.262223070576
Na,Développeur IA,Directeur / Directrice de production de spectacles,L1302,46.415054303791
Na,Responsable CRM,Responsable des relations presse,E1103,20.883799671951
Na,Data Engineer,Data miner,M1403,13.3141049698248
Na,Technicien en télécommunication,Maquettiste en conception industrielle,H1203,44.5841462893768
Na,Product Manager,Consultant / Consultante en management,M1402,48.1456119639554
Na,Responsable sécurité des systèmes d'information,Technicien / Technicienne des systèmes d'information et de télécommunications,M1807,29.2553975765928
Na,Gestionnaire de base de données,Opérateur / Opératrice de projection,E1204,49.2990568453342
Na,Expert en technologie de l’information,Administrateur / Administratrice système et réseaux d'information et de communication,M1801,53.2718229140778
Na,Responsable sécurité des systèmes d'information,Responsable des systèmes informatiques,M1803,33.708114369893
Na,Responsable CRM,Responsable «Blanc»,I1402,21.5110474178494
Na,Developpeur Back-End,Ingénieur / Ingénieure d'affaires en industrie,H1102,34.1091578748137
Na,Architecte base de données,Administrateur / Administratrice de bases de données,M1801,51.6466204997858
Na,Créateur d'entreprise,Attaché commercial / Attachée commerciale bancaire entreprise,C1203,6.97952044271924
Na,Technicien système et réseau,Ingénieur / Ingénieure système réseau informatique,M1802,59.3287622145836
Na,Chef de projet systèmes d'information,Technicien / Technicienne Systèmes d'Information Géographique -SIG-,M1808,5.97972182984667
Na,Community manager,Ingénieur / Ingénieure - conseil en management,M1402,23.6675331324898
Na,Chef de projet communication digitale,Chargé / Chargée de communication scientifique,E1103,30.6202605562881
Na,Créateur d'entreprise,Animateur / Animatrice d'écomusée,G1202,10.5554904428884
Na,Analyste SOC,Analyste-programmeur / Analyste-programmeuse de micro-informatique,M1805,36.3549335965991
Na,Developpeur Back-End,Développeur / Développeuse logiciel de réalité augmentée,M1805,26.7873519034796
Na,Technicien d'exploitation,Maître / Maîtresse d'ouvrage système d'information,M1806,52.1683309722103
Na,Gestionnaire de base de données,Technicien / Technicienne réseau de transmission de données aux armées,M1807,48.7508186215254
Na,Chef de projet technique,Rédacteur / Rédactrice en chef,E1106,1.05103925776282
Na,Fablab manager,Ingénieur / Ingénieure - conseil en management,M1402,42.5655184952008
Na,Créateur d'entreprise,Dirigeant / Dirigeante de grande entreprise du secteur marchand ou d'établissement public,M1301,47.5421045315704
Na,Chef de projet technique,Chef de projet études industrielles,H1206,42.9206714993694
Na,Gestionnaire de parc micro-informatique,Technicien / Technicienne en réseau local informatique,I1401,20.034048853019
Na,Ingénieur DevOps,Ingénieur / Ingénieure études et support télécoms,M1804,3.48040743885294
Na,Technicien en télécommunication,Technicien / Technicienne en électroménager,I1402,41.1099279220196
Na,Expert en système d’information,Gouacheur / Gouacheuse en films d'animation,E1205,57.0297480996433
Na,Chargé de production vidéos,Dessinateur / Dessinatrice d'art,B1101,34.6171226976176
Na,Technicien data,Technicien planificateur / Technicienne planificatrice manutention portuaire,N3201,55.3499560756226
Na,Product Manager,Ingénieur / Ingénieure produit,M1703,59.3340603142044
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure en propriété industrielle,H1206,51.7397769646181
Na,Chef de projet web,Chef de fabrication édition,E1303,32.4085252016911
Na,Chargé e-commerce,E-commercial / E-commerciale,E1101,60.5779129831044
Na,Responsable sécurité des systèmes d'information,Responsable d'un service télécoms,M1803,9.90651380307105
Na,Couteau suisse du numérique,Fraiseur / Fraiseuse sur Commande Numérique -CN-,H2903,3.94910622499194
Na,Chef de projet technique,Chef d'équipe opérateur / opératrice de projection,E1204,9.0914335456218
Na,Technicien base de données,Conducteur / Conductrice de rainureuses,E1302,46.3374894373949
Na,Responsable sécurité des systèmes d'information,Chef de projet Maîtrise d'Ouvrage - MOA des systèmes d'information,M1806,56.6423663142148
Na,Directeur de projet,Directeur / Directrice de ballet,L1302,50.4678389141716
Na,Couteau suisse du numérique,Animateur / Animatrice d'espace public numérique,G1202,21.0076648633971
